ID,Actual
1,18161.822850725333
4,23726.871261381108
10,13225.721250807754
13,21180.198800612772
16,5729.705287437282
17,11494.817076442714
18,33591.456867965775
19,25911.41591435718
22,14200.727935047413
23,9680.681251976353
25,5644.062551766077
29,23727.14256138263
31,17252.33605600705
34,21239.96091559894
38,21656.459679102823
39,26891.87273762156
43,23449.973406047266
44,18537.842005443923
46,28391.866834
47,14604.965391158594
48,18351.32437616336
51,11038.488788335819
53,11633.072795048036
55,14889.962464675016
56,14152.912769745491
58,26237.78776083068
63,11473.876603107756
66,13209.564699945004
69,22029.577701906936
70,11077.857808758623
75,16147.809322132414
82,19468.32209266881
84,15334.181442708015
85,30984.35609439487
87,25726.529860879542
88,10590.422430112965
89,20195.51730795976
98,15474.49135782375
99,24288.15122674509
102,17959.508846789657
108,16513.988666528425
109,8598.90379250633
111,15262.339300347732
112,7082.499506296521
117,16545.68494595799
122,17039.972347411225
125,28651.17254060665
128,14874.045048770102
134,14191.89219755936
140,8130.843702409444
143,7250.103363119248
146,20887.556450561184
148,31520.766847370676
149,15426.47696275237
150,9866.269615642987
151,37016.20786863049
152,30683.44082831647
156,11226.697418527086
158,18889.443930213714
160,24689.952812473042
167,27484.748914777356
170,31513.039957924695
172,27380.04429842388
176,26593.80507286047
179,4773.838578842847
183,11706.703634909494
184,33505.65279943211
186,17285.429814114977
189,14456.637814716694
191,10653.376936430177
194,20574.193760713435
199,11644.136571706782
201,18738.0803701164
206,35411.28181205663
214,37805.38867210003
216,12713.269071587245
219,7448.089633586175
220,25102.907809934844
224,13471.20846782787
227,22073.612164043272
228,20972.412157440576
230,10940.288047229991
232,16133.174833099094
233,25998.818871140662
234,22581.38298867291
237,18620.265855001184
238,9587.386030711501
248,18745.556758252354
249,21986.97189899886
250,4428.981867837545
264,13659.601362348454
267,19671.34845160606
270,12489.481913096739
272,50881.711300330935
277,24012.208917472373
278,11083.091558914732
279,15706.49598164894
280,24794.827975934983
284,19704.665685314838
286,14780.77284656486
287,20094.7619612901
288,28193.84397979033
289,2096.9422893533347
292,20719.597221009855
293,22577.229328423593
295,21976.713238602104
298,26985.238974132135
300,19210.017314009947
301,16676.821834858783
304,4702.147209438188
305,23040.86085476666
311,15844.468479314226
314,14314.634951074033
317,12726.053937166456
319,39338.70752110469
320,18895.800706798465
325,18758.938781911223
327,27077.746301266096
334,15372.331365408054
336,22279.24636120942
338,25180.403810001684
339,20745.922668429303
340,14766.21423406731
342,21105.329287686596
343,21096.649424006413
344,17647.694598109094
346,17833.642387705804
347,25522.227013648462
348,22087.255382134397
354,29508.038515372442
360,16919.877598378807
361,16934.680108376633
363,25054.064855567158
367,33160.86549878545
369,14054.860137676114
373,30351.734588231895
376,17948.440811869146
377,25000.145862599617
378,10734.908385304594
384,27668.818162773245
386,30184.492815631344
388,11382.640187421986
391,23017.698978749268
398,7906.15186200569
402,7248.809301351531
406,25686.5863551923
407,10857.504247874085
409,35681.285587645376
410,17384.15337644303
411,24659.801146779206
412,21496.651490983062
414,26131.669245208293
419,10702.76760762583
422,20338.493561205025
426,10427.557138718355
429,15782.264862863522
436,23723.00883307707
438,21585.607288054136
441,22055.49280306758
442,26310.542622042227
449,32253.00910482048
451,37794.980634740474
454,14109.828270373957
455,14129.286957131586
456,17885.73957083033
457,27754.439565579873
460,17043.256156079
461,11273.861113204968
464,24382.09890345369
472,24894.41904409134
473,25425.30867825002
475,7659.41349609496
476,21161.467631464297
491,14348.47079695377
493,25596.723024585575
498,55452.19605168051
499,25404.92124772934
503,15405.183382286246
506,12121.677710130818
509,15082.26572037806
510,18380.398624562033
511,27924.30088818167
512,21478.107486860787
514,12380.143423431584
519,19174.728279143525
521,17813.141823269536
522,26290.44848491367
528,24904.01727284865
529,28173.369965048267
533,25455.095857603817
537,17091.400706610482
539,19149.641896583496
542,13276.364478052586
544,19953.943139985426
545,26992.455212670488
546,8692.466620275622
547,21973.17654931165
550,10362.419546160603
552,24917.54223846484
555,16504.170446607357
557,30579.836375095598
558,8837.691072067615
563,26934.29119093465
564,20022.802859537547
567,27872.692083172333
568,8752.410533749962
569,12962.755343744615
576,11176.212991187083
579,27467.547115079706
580,24444.842020150376
582,30304.9854856737
587,31236.68251959542
589,22163.030744116146
592,15977.718116289729
593,20278.24440816792
594,47457.077327524836
597,19045.883638008967
600,14341.808710996951
605,11168.027224105146
609,22248.30733373174
610,18138.86101285179
612,15585.052977029225
624,19908.666747296964
625,7094.764926115927
628,18388.87454200959
630,19390.668198880252
634,33706.712514435996
637,16033.263220875684
638,17981.07694645244
643,21047.158355456762
649,46604.08643667236
650,17587.07651511227
651,20848.944478968413
655,13684.012102998577
657,22245.333344528055
660,21823.401818954197
664,18016.08628520987
666,10013.095611965147
667,17656.35494044556
673,14783.93367351895
680,27897.01477481075
683,30532.273653125238
684,28071.605785379907
685,38260.85975671785
686,27765.100226432765
692,17722.901794346282
693,15549.109649793414
694,14152.360410776018
695,12764.839919918786
697,34973.451688174806
700,27129.35064243775
704,10206.015124687592
706,22660.77508571026
707,11552.162486660764
715,18059.87077354762
718,11378.275201773204
721,10152.612385497205
722,22462.635147992638
725,6206.091924257318
730,20419.721467533174
734,22313.957317702174
739,19600.38272398576
741,19060.704121140916
742,62615.110328484574
744,17082.09327336648
745,32528.05930472965
748,15118.275529099894
751,21559.507999725178
759,33189.554380220456
762,32263.509120098533
768,19127.597117686586
772,27942.217044848745
776,20551.872228069686
777,12092.150966171675
778,11377.279604554516
779,19202.448391921782
781,20120.405908214965
782,24945.68661060986
789,7344.032889484439
792,29192.479326319233
793,29957.50152417853
795,43536.475032944014
797,27660.193671499313
803,12097.901200129978
804,23433.31160996418
805,26301.246960901182
810,12180.690255837033
811,15948.707185209467
815,14630.614090796991
817,18982.56734975965
818,11962.678288725856
819,26085.794521483367
823,31552.247907348672
825,13089.794835305514
827,24909.346214320747
828,17728.20718726176
829,9454.899283798599
831,32445.93592456425
837,13324.305397995227
842,25676.436681087238
848,17138.02210098275
849,24674.321401629702
852,16666.584894015752
859,16700.19018743108
861,16748.09546782291
863,22271.456240470092
866,20031.2670642021
869,25242.205184320752
872,26346.67362962518
873,25283.452594701397
885,17386.093650340114
888,15632.885179161369
900,13699.769436431478
901,9895.450717516773
904,21549.719764455433
914,16191.333577639798
919,13994.943113775602
920,19728.24060608283
923,12834.203196765005
924,21855.049463894287
927,23529.49714790467
928,11923.964221961367
929,17700.1701529431
930,20487.796338160548
931,13685.09008216063
932,12916.04237410254
933,19596.46679712557
939,25524.15480922738
940,20506.534748953898
941,13281.868685878084
942,21847.903769316188
943,10043.502506101608
946,19403.19093411849
947,16997.56858511579
948,21548.356579724474
950,17017.31872384667
951,11735.320665907873
956,13151.284996507917
965,29519.587035804507
966,24958.679240740305
969,32352.155871278563
971,18561.77995017085
977,49931.816603470594
979,19409.452188266285
983,17394.42671798956
984,38106.33646595966
992,27017.264977398867
994,14649.175769400677
996,15751.446300561613
997,26050.967727040083
1000,9535.799945883242
1004,31810.67663675214
1005,12967.409202332135
1006,16774.08623321692
1007,21694.84394003956
1009,21970.904931366153
1022,15841.476682527582
1023,32398.10715378976
1029,18562.51863634793
1030,13950.591485787863
1035,18294.56925040081
1037,16904.379824191634
1040,22387.57868440915
1041,44141.97327057025
1045,13605.825725891484
1046,28160.74591269636
1054,10787.200768755863
1056,24632.84419831637
1057,20093.103516420608
1058,12063.631585968198
1063,29466.901748620585
1064,10160.2715247084
1065,20123.074066957965
1066,16423.583658027335
1069,10445.163654084226
1076,28725.704889416505
1082,16953.04537650734
1083,10784.419995144935
1084,35686.197907542075
1088,7130.538396242795
1098,22831.709027627254
1100,16007.614305087816
1104,16225.76321163051
1106,30582.364265873985
1112,16126.744594542155
1113,37445.116695904304
1114,15160.519321298196
1119,9972.418741543677
1120,17833.99427293666
1128,29477.609215067507
1129,30549.56893232721
1136,24978.873523354294
1138,27463.02851757412
1142,17145.57700329215
1143,12625.302574781566
1145,19659.625206029927
